GROUP,TEAM,ISOALPHA3,STICKER_NUM,STICKER_CODE,LATENGO
GROUP B,BOSNIA-HERZEGOVINA,BIH,9,BIH9,FALSE
GROUP B,BOSNIA-HERZEGOVINA,BIH,10,BIH10,TRUE
GROUP B,BOSNIA-HERZEGOVINA,BIH,11,BIH11,FALSE
GROUP B,BOSNIA-HERZEGOVINA,BIH,12,BIH12,FALSE
GROUP B,BOSNIA-HERZEGOVINA,BIH,13,BIH13,FALSE
GROUP B,BOSNIA-HERZEGOVINA,BIH,14,BIH14,TRUE
GROUP B,BOSNIA-HERZEGOVINA,BIH,15,BIH15,FALSE
GROUP B,BOSNIA-HERZEGOVINA,BIH,16,BIH16,FALSE
GROUP B,BOSNIA-HERZEGOVINA,BIH,17,BIH17,FALSE
GROUP B,BOSNIA-HERZEGOVINA,BIH,18,BIH18,FALSE
GROUP B,BOSNIA-HERZEGOVINA,BIH,19,BIH19,FALSE
GROUP B,BOSNIA-HERZEGOVINA,BIH,20,BIH20,FALSE
GROUP B,CANADA,CAN,1,CAN1,TRUE
GROUP B,CANADA,CAN,2,CAN2,TRUE
GROUP B,CANADA,CAN,3,CAN3,TRUE
GROUP B,CANADA,CAN,4,CAN4,FALSE
GROUP B,CANADA,CAN,5,CAN5,TRUE
GROUP B,CANADA,CAN,6,CAN6,TRUE
GROUP B,CANADA,CAN,7,CAN7,TRUE
GROUP B,CANADA,CAN,8,CAN8,FALSE
GROUP B,CANADA,CAN,9,CAN9,TRUE
GROUP B,CANADA,CAN,10,CAN10,TRUE
GROUP B,CANADA,CAN,11,CAN11,TRUE
GROUP B,CANADA,CAN,12,CAN12,TRUE
GROUP B,CANADA,CAN,13,CAN13,TRUE
GROUP B,CANADA,CAN,14,CAN14,TRUE
GROUP B,CANADA,CAN,15,CAN15,TRUE
GROUP B,CANADA,CAN,16,CAN16,TRUE
GROUP B,CANADA,CAN,17,CAN17,FALSE
GROUP B,CANADA,CAN,18,CAN18,FALSE
GROUP B,CANADA,CAN,19,CAN19,TRUE
GROUP B,CANADA,CAN,20,CAN20,TRUE
GROUP B,QATAR,QAT,1,QAT1,TRUE
GROUP B,QATAR,QAT,2,QAT2,FALSE
GROUP B,QATAR,QAT,3,QAT3,TRUE
GROUP B,QATAR,QAT,4,QAT4,TRUE
GROUP B,QATAR,QAT,5,QAT5,FALSE
GROUP B,QATAR,QAT,6,QAT6,TRUE
GROUP B,QATAR,QAT,7,QAT7,TRUE
GROUP B,QATAR,QAT,8,QAT8,TRUE
